Nr,Company,Location_HQ,Region,USState,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in__mil,Year,latitude,longitude
1677,Fission,Vancouver,Cascadia,British Columbia,Canada,North America,,2024-04-07,100.0,,0.0,Other,Unknown,,2024,49.2608724,-123.113952
1678,Singularity 6,Los Angeles,other,California,USA,North America,49.0,2024-04-08,35.0,140.0,91.0,Gaming,Series B,49.0,2024,34.0536909,-118.242766
1679,Trendsales,Copenhagen,other,non,Denmark,Europe,79.0,2024-04-08,100.0,79.0,0.0,Retail,Acquired,,2024,55.6867243,12.5700724
1680,Checkr,San Francisco,San Francisco Bay Area,California,USA,North America,382.0,2024-04-09,32.0,1194.0,812.0,HR,Series D,,2024,37.7792588,-122.4193286
1681,Intel,Santa Clara,San Francisco Bay Area,California,USA,North America,62.0,2024-04-09,,,,Semiconductors,Post-IPO,12.0,2024,37.354107,-121.955238
1682,Scaler,Bengaluru,other,Karnataka,India,Asia,150.0,2024-04-10,,,,Education,Series B,55.0,2024,12.98815675,77.62260004
1683,Cornershop,Santiago,other,non,Chile,South America,200.0,2024-04-10,,,,Food,Acquired,32.0,2024,-33.4377756,-70.6504502
1684,Fabric,New York City,other,New York,USA,North America,30.0,2024-04-11,15.0,200.0,170.0,Logistics,Series C,336.0,2024,40.7127281,-74.0060152
1685,Hinge Health,San Francisco,San Francisco Bay Area,California,USA,North America,,2024-04-11,10.0,,,Healthcare,Series E,826.0,2024,37.7792588,-122.4193286
1686,Zoe,London,other,England,UK,Europe,,2024-04-11,20.0,,,Healthcare,Series B,89.0,2024,51.4893335,-0.144055085
1687,Criteo,Paris,other,non,France,Europe,140.0,2024-04-12,4.0,3500.0,3360.0,Marketing,Unknown,,2024,48.8588897,2.320041022
1688,Criteo,Paris,other,non,France,Europe,140.0,2024-04-12,4.0,3500.0,3360.0,Marketing,Post-IPO,61.0,2024,48.8588897,2.320041022
1689,Glovo,Barcelona,other,Catalonia,Spain,Europe,25.0,2024-04-12,,,,Food,Acquired,1200.0,2024,41.3828939,2.1774322
1690,TikTok,Dublin,other,non,Ireland,Europe,250.0,2024-04-13,,,,Entertainment Providers,Acquired,,2024,53.3493795,-6.2605593
1691,Tesla,Austin,other,Texas,USA,North America,14000.0,2024-04-15,10.0,140000.0,126000.0,Motor Vehicle Manufacturing,Unknown,,2024,30.2711286,-97.7436995
1692,McKinsey & Co,New York City,other,New York,USA,North America,360.0,2024-04-15,3.0,12000.0,11640.0,Business Consulting and Services,Unknown,,2024,40.7127281,-74.0060152
1693,Tome,San Francisco,San Francisco Bay Area,California,USA,North America,12.0,2024-04-16,25.0,48.0,36.0,AI,Series B,75.0,2024,37.7792588,-122.4193286
1694,Tome,San Francisco,San Francisco Bay Area,California,USA,North America,12.0,2024-04-16,20.0,60.0,48.0,AI,Series B,75.0,2024,37.7792588,-122.4193286
1695,Kwalee,Leamington Spa,other,England,UK,Europe,40.0,2024-04-16,10.0,400.0,360.0,Gaming,Unknown,,2024,52.2913394,-1.536404
1696,Take-Two,New York City,other,New York,USA,North America,600.0,2024-04-16,5.0,12000.0,11400.0,Entertainment Providers,Post-IPO,4100.0,2024,40.7127281,-74.0060152
1697,Rivian,Detroit,other,Michigan,USA,North America,,2024-04-17,1.0,,0.0,Transportation,Post-IPO,10700.0,2024,42.3315509,-83.0466403
1698,ConnectWise,Tampa,other,Florida,USA,North America,80.0,2024-04-17,,,,Software Development,Unknown,,2024,27.9477595,-82.458444
1699,Data.ai,San Francisco,San Francisco Bay Area,California,USA,North America,44.0,2024-04-17,11.0,400.0,356.0,Software Development,Unknown,,2024,37.7792588,-122.4193286
